id	license	rightsHolder	institutionCode	collectionCode	basisOfRecord	occurrenceID	recordNumber	organismQuantity	organismQuantityType	occurrenceStatus	eventDate	year	month	day	countryCode	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	scientificName	kingdom	phylum	class	order	family	taxonRank	vernacularName
MST-DK-invasives-173	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-173	173			PRESENT	2016-10-14	2016	10	14	DK	55.97169788	9.633862452		Reynoutria japonica Houtt.	Plantae 	Magnoliophyta 	Magnoliopsida	Caryophyllales 	Polygonaceae	SPECIES	Japansk pileurt
MST-DK-invasives-174	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-174	174			PRESENT	2016-10-14	2016	10	14	DK	55.29250295	8.556068429		Alopochen aegyptiaca, (Linnaeus, 1766)	Animalia 	Chordata 	Aves 	Anseriformes 	Anatidae 	SPECIES	Nilgås
MST-DK-invasives-175	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-175	175			PRESENT	2016-10-14	2016	10	14	DK	55.9845154	9.633879773		Reynoutria japonica Houtt.	Plantae 	Magnoliophyta 	Magnoliopsida	Caryophyllales 	Polygonaceae	SPECIES	Japansk pileurt
MST-DK-invasives-176	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-176	176			PRESENT	2016-10-10	2016	10	10	DK	56.09161038	8.254054286		Arion vulgaris Moquin-Tandon, 1855	Animalia 	Mollusca 	Gastropoda 	Stylommatophora	Arionidae	SPECIES	Dræbersnegl
MST-DK-invasives-178	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-178	178			PRESENT	2016-09-07	2016	09	07	DK	56.43284423	8.997159025		Pacifastacus leniusculus, (Dana, 1852)	Animalia 	Arthropoda	Malacostraca 	Decapoda 	Astacidae	SPECIES	Signalkrebs
MST-DK-invasives-179	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-179	179			PRESENT	2015-08-03	2015	08	03	DK	56.10108897	10.01921867		Pseudorasbora parva, (Temminck & Schlegel, 1846)	Animalia 	Chordata	Actinopterygii 	Cypriniformes 	Cyprinidae 	SPECIES	Båndgrundling
MST-DK-invasives-180	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-180	180			PRESENT	2013-02-04	2013	02	04	DK	56.18018978	10.13254462		Pseudorasbora parva, (Temminck & Schlegel, 1846)	Animalia 	Chordata	Actinopterygii 	Cypriniformes 	Cyprinidae 	SPECIES	Båndgrundling
MST-DK-invasives-181	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-181	181			PRESENT	2013-07-04	2013	07	04	DK	56.17484863	10.12055129		Pseudorasbora parva, (Temminck & Schlegel, 1846)	Animalia 	Chordata	Actinopterygii 	Cypriniformes 	Cyprinidae 	SPECIES	Båndgrundling
MST-DK-invasives-182	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-182	182			PRESENT	2013-07-04	2013	07	04	DK	56.17245984	10.10215855		Pseudorasbora parva, (Temminck & Schlegel, 1846)	Animalia 	Chordata	Actinopterygii 	Cypriniformes 	Cyprinidae 	SPECIES	Båndgrundling
MST-DK-invasives-183	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-183	183			PRESENT	2013-07-04	2013	07	04	DK	56.14991814	10.08916975		Pseudorasbora parva, (Temminck & Schlegel, 1846)	Animalia 	Chordata	Actinopterygii 	Cypriniformes 	Cyprinidae 	SPECIES	Båndgrundling
MST-DK-invasives-195	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-195	195			PRESENT	2016-09-01	2016	09	01	DK	55.80170973	11.9978824		Arion vulgaris Moquin-Tandon, 1855	Animalia 	Mollusca 	Gastropoda 	Stylommatophora	Arionidae	SPECIES	Dræbersnegl
